,FECHA,TMAX,TMIN,T_AVE,NOMBRE
1823,2022-03-16,30.1,18.1,24.1,NUEVE DE JULIO
1459,2022-03-16,28.8,19.5,24.15,MORON AERO
1094,2022-03-16,28.9,15.0,21.95,EL PALOMAR AERO
729,2022-03-16,28.7,20.5,24.6,BUENOS AIRES OBSERVATORIO
364,2022-03-16,27.6,19.8,23.700000000000003,AEROPARQUE AERO
1822,2022-03-17,30.8,15.6,23.2,NUEVE DE JULIO
1458,2022-03-17,30.9,19.4,25.15,MORON AERO
1093,2022-03-17,31.2,17.8,24.5,EL PALOMAR AERO
728,2022-03-17,31.5,21.5,26.5,BUENOS AIRES OBSERVATORIO
363,2022-03-17,28.6,21.3,24.950000000000003,AEROPARQUE AERO
1821,2022-03-18,21.8,13.4,17.6,NUEVE DE JULIO
1457,2022-03-18,25.2,14.7,19.95,MORON AERO
1092,2022-03-18,23.0,14.5,18.75,EL PALOMAR AERO
727,2022-03-18,25.3,14.9,20.1,BUENOS AIRES OBSERVATORIO
362,2022-03-18,26.1,14.3,20.200000000000003,AEROPARQUE AERO
1820,2022-03-19,22.0,7.5,14.75,NUEVE DE JULIO
1456,2022-03-19,20.5,6.4,13.45,MORON AERO
1091,2022-03-19,20.6,5.0,12.8,EL PALOMAR AERO
726,2022-03-19,21.7,8.2,14.95,BUENOS AIRES OBSERVATORIO
361,2022-03-19,18.9,11.4,15.15,AEROPARQUE AERO
1819,2022-03-20,22.5,8.5,15.5,NUEVE DE JULIO
1455,2022-03-20,21.6,9.9,15.75,MORON AERO
1090,2022-03-20,21.4,7.2,14.3,EL PALOMAR AERO
725,2022-03-20,21.5,10.2,15.85,BUENOS AIRES OBSERVATORIO
360,2022-03-20,20.6,13.0,16.8,AEROPARQUE AERO
1818,2022-03-21,17.9,12.9,15.4,NUEVE DE JULIO
1454,2022-03-21,21.8,15.4,18.6,MORON AERO
1089,2022-03-21,22.0,15.5,18.75,EL PALOMAR AERO
724,2022-03-21,22.4,15.4,18.9,BUENOS AIRES OBSERVATORIO
359,2022-03-21,22.5,15.3,18.9,AEROPARQUE AERO
1817,2022-03-22,26.5,13.0,19.75,NUEVE DE JULIO
1453,2022-03-22,24.0,17.5,20.75,MORON AERO
1088,2022-03-22,24.4,17.8,21.1,EL PALOMAR AERO
723,2022-03-22,25.5,17.9,21.7,BUENOS AIRES OBSERVATORIO
358,2022-03-22,22.8,18.3,20.55,AEROPARQUE AERO
1816,2022-03-23,25.4,15.3,20.35,NUEVE DE JULIO
1452,2022-03-23,26.5,19.0,22.75,MORON AERO
1087,2022-03-23,27.0,18.0,22.5,EL PALOMAR AERO
722,2022-03-23,26.2,19.6,22.9,BUENOS AIRES OBSERVATORIO
357,2022-03-23,24.3,19.8,22.05,AEROPARQUE AERO
1815,2022-03-24,21.6,9.1,15.35,NUEVE DE JULIO
1451,2022-03-24,23.2,10.5,16.85,MORON AERO
1086,2022-03-24,24.0,10.5,17.25,EL PALOMAR AERO
721,2022-03-24,23.2,11.4,17.3,BUENOS AIRES OBSERVATORIO
356,2022-03-24,22.7,11.3,17.0,AEROPARQUE AERO
1814,2022-03-25,21.8,8.7,15.25,NUEVE DE JULIO
1450,2022-03-25,21.8,8.4,15.1,MORON AERO
1085,2022-03-25,21.9,9.0,15.45,EL PALOMAR AERO
720,2022-03-25,21.4,9.3,15.35,BUENOS AIRES OBSERVATORIO
355,2022-03-25,21.5,10.1,15.8,AEROPARQUE AERO
1813,2022-03-26,22.7,14.0,18.35,NUEVE DE JULIO
1449,2022-03-26,23.4,14.2,18.8,MORON AERO
1084,2022-03-26,24.0,15.5,19.75,EL PALOMAR AERO
719,2022-03-26,24.7,15.9,20.3,BUENOS AIRES OBSERVATORIO
354,2022-03-26,24.3,16.7,20.5,AEROPARQUE AERO
1812,2022-03-27,28.8,11.3,20.05,NUEVE DE JULIO
1448,2022-03-27,27.7,12.3,20.0,MORON AERO
1083,2022-03-27,28.0,8.7,18.35,EL PALOMAR AERO
718,2022-03-27,29.0,13.6,21.3,BUENOS AIRES OBSERVATORIO
353,2022-03-27,28.6,14.0,21.3,AEROPARQUE AERO
1811,2022-03-28,28.6,13.3,20.950000000000003,NUEVE DE JULIO
1447,2022-03-28,27.4,15.4,21.4,MORON AERO
1082,2022-03-28,28.0,10.2,19.1,EL PALOMAR AERO
717,2022-03-28,27.3,14.9,21.1,BUENOS AIRES OBSERVATORIO
352,2022-03-28,25.5,16.7,21.1,AEROPARQUE AERO
1810,2022-03-29,23.0,14.9,18.95,NUEVE DE JULIO
1446,2022-03-29,28.0,16.8,22.4,MORON AERO
1081,2022-03-29,28.5,18.0,23.25,EL PALOMAR AERO
716,2022-03-29,30.4,19.0,24.7,BUENOS AIRES OBSERVATORIO
351,2022-03-29,28.7,19.2,23.95,AEROPARQUE AERO
1809,2022-03-30,17.0,5.5,11.25,NUEVE DE JULIO
1445,2022-03-30,17.0,6.8,11.9,MORON AERO
1080,2022-03-30,18.2,7.0,12.6,EL PALOMAR AERO
715,2022-03-30,19.0,8.7,13.85,BUENOS AIRES OBSERVATORIO
350,2022-03-30,19.7,9.5,14.6,AEROPARQUE AERO
1808,2022-03-31,20.4,4.0,12.2,NUEVE DE JULIO
1444,2022-03-31,19.4,4.9,12.15,MORON AERO
1079,2022-03-31,19.5,2.5,11.0,EL PALOMAR AERO
714,2022-03-31,21.2,7.0,14.1,BUENOS AIRES OBSERVATORIO
349,2022-03-31,20.1,9.3,14.7,AEROPARQUE AERO
1807,2022-04-01,22.2,5.1,13.65,NUEVE DE JULIO
1443,2022-04-01,21.0,6.8,13.9,MORON AERO
1078,2022-04-01,21.2,3.0,12.1,EL PALOMAR AERO
713,2022-04-01,20.4,8.2,14.3,BUENOS AIRES OBSERVATORIO
348,2022-04-01,19.0,11.1,15.05,AEROPARQUE AERO
1806,2022-04-02,23.6,7.6,15.6,NUEVE DE JULIO
1442,2022-04-02,22.2,9.8,16.0,MORON AERO
1077,2022-04-02,22.0,6.0,14.0,EL PALOMAR AERO
712,2022-04-02,22.4,12.5,17.45,BUENOS AIRES OBSERVATORIO
347,2022-04-02,21.6,14.7,18.15,AEROPARQUE AERO
1805,2022-04-03,22.0,10.1,16.05,NUEVE DE JULIO
1441,2022-04-03,23.6,15.2,19.4,MORON AERO
1076,2022-04-03,23.5,15.0,19.25,EL PALOMAR AERO
711,2022-04-03,24.5,16.3,20.4,BUENOS AIRES OBSERVATORIO
346,2022-04-03,24.1,16.6,20.35,AEROPARQUE AERO
1804,2022-04-04,24.0,4.8,14.4,NUEVE DE JULIO
1440,2022-04-04,22.5,5.5,14.0,MORON AERO
1075,2022-04-04,22.5,3.2,12.85,EL PALOMAR AERO
710,2022-04-04,23.0,7.6,15.3,BUENOS AIRES OBSERVATORIO
345,2022-04-04,20.1,11.8,15.95,AEROPARQUE AERO
1803,2022-04-05,27.9,8.6,18.25,NUEVE DE JULIO
1439,2022-04-05,24.8,7.4,16.1,MORON AERO
1074,2022-04-05,25.0,3.5,14.25,EL PALOMAR AERO
709,2022-04-05,24.0,8.9,16.45,BUENOS AIRES OBSERVATORIO
344,2022-04-05,22.1,11.2,16.65,AEROPARQUE AERO
1802,2022-04-06,28.3,10.5,19.4,NUEVE DE JULIO
1438,2022-04-06,27.0,11.5,19.25,MORON AERO
1073,2022-04-06,27.5,7.5,17.5,EL PALOMAR AERO
708,2022-04-06,26.6,13.0,19.8,BUENOS AIRES OBSERVATORIO
343,2022-04-06,24.8,15.2,20.0,AEROPARQUE AERO
1801,2022-04-07,29.4,14.4,21.9,NUEVE DE JULIO
1437,2022-04-07,26.4,14.2,20.3,MORON AERO
1072,2022-04-07,26.5,11.5,19.0,EL PALOMAR AERO
707,2022-04-07,26.7,15.7,21.2,BUENOS AIRES OBSERVATORIO
342,2022-04-07,24.1,17.6,20.85,AEROPARQUE AERO
1800,2022-04-08,24.0,14.0,19.0,NUEVE DE JULIO
1436,2022-04-08,25.0,17.5,21.25,MORON AERO
1071,2022-04-08,25.0,17.6,21.3,EL PALOMAR AERO
706,2022-04-08,25.5,18.0,21.75,BUENOS AIRES OBSERVATORIO
341,2022-04-08,22.6,18.1,20.35,AEROPARQUE AERO
1799,2022-04-09,27.9,13.4,20.65,NUEVE DE JULIO
1435,2022-04-09,27.4,14.7,21.05,MORON AERO
1070,2022-04-09,26.5,12.4,19.45,EL PALOMAR AERO
705,2022-04-09,25.4,15.9,20.65,BUENOS AIRES OBSERVATORIO
340,2022-04-09,22.2,17.4,19.8,AEROPARQUE AERO
1798,2022-04-10,22.3,14.1,18.2,NUEVE DE JULIO
1434,2022-04-10,27.2,16.9,22.05,MORON AERO
1069,2022-04-10,27.2,15.0,21.1,EL PALOMAR AERO
704,2022-04-10,26.6,19.0,22.8,BUENOS AIRES OBSERVATORIO
339,2022-04-10,25.6,19.6,22.6,AEROPARQUE AERO
1797,2022-04-11,20.0,13.6,16.8,NUEVE DE JULIO
1433,2022-04-11,24.0,15.4,19.7,MORON AERO
1068,2022-04-11,24.0,16.0,20.0,EL PALOMAR AERO
703,2022-04-11,25.2,16.9,21.05,BUENOS AIRES OBSERVATORIO
338,2022-04-11,24.7,17.0,20.85,AEROPARQUE AERO
1796,2022-04-12,20.1,9.0,14.55,NUEVE DE JULIO
1432,2022-04-12,21.2,10.3,15.75,MORON AERO
1067,2022-04-12,21.5,7.5,14.5,EL PALOMAR AERO
702,2022-04-12,23.2,11.7,17.45,BUENOS AIRES OBSERVATORIO
337,2022-04-12,22.6,13.1,17.85,AEROPARQUE AERO
1795,2022-04-13,22.3,5.1,13.7,NUEVE DE JULIO
1431,2022-04-13,20.7,7.2,13.95,MORON AERO
1066,2022-04-13,20.5,5.7,13.1,EL PALOMAR AERO
701,2022-04-13,21.5,9.1,15.3,BUENOS AIRES OBSERVATORIO
336,2022-04-13,21.2,11.3,16.25,AEROPARQUE AERO
1794,2022-04-14,21.9,7.6,14.75,NUEVE DE JULIO
1430,2022-04-14,21.0,6.5,13.75,MORON AERO
1065,2022-04-14,21.1,5.4,13.25,EL PALOMAR AERO
700,2022-04-14,22.2,9.6,15.9,BUENOS AIRES OBSERVATORIO
335,2022-04-14,19.8,12.4,16.1,AEROPARQUE AERO
1793,2022-04-15,22.5,6.9,14.7,NUEVE DE JULIO
1429,2022-04-15,21.2,9.4,15.3,MORON AERO
1064,2022-04-15,19.5,6.5,13.0,EL PALOMAR AERO
699,2022-04-15,19.7,9.8,14.75,BUENOS AIRES OBSERVATORIO
334,2022-04-15,18.1,13.2,15.65,AEROPARQUE AERO
1792,2022-04-16,23.3,7.5,15.4,NUEVE DE JULIO
1428,2022-04-16,23.0,9.2,16.1,MORON AERO
1063,2022-04-16,23.7,7.2,15.45,EL PALOMAR AERO
