FECHA,TMAX,TMIN,TPROM,NOMBRE
Mar-2022,23.91,14.49,18.21,AEROPARQUE AERO
Abr-2022,21.76,14.51,18.13,AEROPARQUE AERO
May-2022,17.31,10.35,13.83,AEROPARQUE AERO
Jun-2022,13.98,7.28,10.63,AEROPARQUE AERO
Jul-2022,15.55,8.92,12.24,AEROPARQUE AERO
Ago-2022,16.70,9.38,13.04,AEROPARQUE AERO
Set-2022,19.05,11.44,15.25,AEROPARQUE AERO
Oct-2022,22.12,13.14,17.63,AEROPARQUE AERO
Nov-2022,26.68,17.67,22.17,AEROPARQUE AERO
Dec-2022,28.90,19.86,24.38,AEROPARQUE AERO
Ene-2023,30.65,21.87,26.26,AEROPARQUE AERO
Feb-2023,29.64,20.63,25.14,AEROPARQUE AERO
Mar-2023,32.70,24.77,28.73,AEROPARQUE AERO
